persondata.txt   v0.1 GAMMEL UTGAVE H2010   Kilder: Wikipedia, TMDb   -*- coding:us-ascii -*-
aak1	AAke Fridell
ada30	Adam G. Sevani
ada31	Adam Garcia
ada32	Adam Gierasch
ada33	Adam Godley
ada34	Adam Goldberg
ada35	Adam Green
ada36	Adam Grimes
ada37	Adam Grossman
ada38	Adam Hann-Byrd
ada39	Adam Hendershott
ada40	Adam Herschman
ada41	Adam Hicks
ada42	Adam James
ada43	Adam Johnson
ada44	Adam Kotz
ada45	Adam Lamberg
ada46	Adam Larson Broder
ada47	Adam LaVorgna
ada48	Adam LeFevre
ada49	Adam Marcus
ada50	Adam McKay
ada51	Adam Nathan
ada52	Adamo Ruggiero
ada53	Adam Pascal
ada54	Adam Pawlikowski
ada55	Adam Redfield
ada56	Adam Resnick
ada57	Adam Rifkin
ada58	Adam Roarke
ada59	Adam Rodriguez
ada60	Adam Ryen
ada61	Adam Sandler
ada62	Adam Scott
ada63	Adam Shankman
ada64	Adam Storke
ada65	Adam T. McLain
ada66	Adam Trese
ada67	Adam West
ada68	Adam Zolotin
ada69	Adan Jodorowsky
ada70	Ada Pometti
ada71	Adario Strange
adb1	A.D. Blake
add1	Addison Powell
add2	Addison Timlin
ade1	Adeep Singh
ade2	Adelaide de Sousa
ade3	Adele Givens
ade4	Adele Jergens
ade5	Adele Mara
ade6	Adele Rein
ade7	Adeline De Walt Reynolds
ade8	Adelino Tavares
ade9	Aden Young
ade10	Adewale Akinnuoye-Agbaje
adi1	Adi Carauleanu
adi2	Adiel Stein
adi3	Adir Abilkassimov
adi4	Adisorn Insee
adi5	Adisorn Tresirikasem
adi6	Adithya
adi7	Aditya Chopra
adi8	Aditya Datt
adi9	Aditya Seal
adi10	Aditya Srivastava
adj1	Adjoa Andoh
adm1	A.D. Miles
adn1	Adnan Maral
ado1	Adolf E. Licho
ado2	Adolf Hitler
ado3	Adolfo Aristarain
ado4	Adolfo Celi
ado5	Adolf Shestakov
ado6	Adolph Caesar
ado7	Adolph Davis
ado8	Adolphe Menjou
ado9	Adoni Maropis
adr1	Adrien Brody
adr2	Adrian Lyne
adr3	Adriana Caselotti
adr4	Adria Allue
adr5	Adriana Asti
adr6	Adriana Barraza
adr7	Adrian Alonso
adr8	Adrian Belew
adr9	Adrian Bouchet
adr10	Adrian Dunbar
adr11	Adriane Marsh
adr12	Adrian Grenier
adr13	Adrian Grunberg
adr14	Adrian Hough
adr15	Adrian Lee
adr16	Adrian Lester
adr17	Adrian Maben
adr18	Adrianne Joseph
adr19	Adrian Nicholas
adr20	Adriano Giannini
adr21	Adrian Pasdar
adr22	Adrian Paul
adr23	Adrian Pintea
adr24	Adrian Ricard
adr25	Adrian Ross Magenty
adr26	Adrian Shergold
adr27	Adrian Truss
adr28	Adrian Zmed
adr29	Adrien Dixon
adr30	Adrien Dorval
adr31	Adrienne Barbeau
adr32	Adrienne Bourbeau
adr33	Adrienne Carter
adr34	Adrienne Corri
adr35	Adrienne King
adr36	Adrienne Posta
adr37	Adrienne Servantie
adr38	Adrienne Shaw
adr39	Adrienne Shelly
adr40	Ad Rock
aed1	A. Edward Sutherland
aer1	Aeryk Egan
aff1	Affif Ben Badra
afr1	Afran Usman
afs1	Afshin Khorshid Bakhtiari
aft1	Aftab Shivdasani
aga1	Agan
aga2	Agasi Babayan
aga3	Agathe De La Boulaye
aga4	Agathe Natanson
agl1	Aglaia Szyszkowitz
agl2	Agles Steib
agn1	Agnes Moorehead
agn2	Agnes Ayres
agn3	Agnes Banfalvy
agn4	Agnes Bruckner
agn5	Agnes Jaoui
agn6	Agnes Straub
agn7	Agnes Varda
agn8	Agnieszka Holland
agn9	Agnieszka Wagner
agn10	Agniya Kuznetsova
ago1	Agostina Belli
agu1	Agust Gudmundsson
agu2	Agustin Diaz Yanes
aha1	Aharon Ipale
ahj1	Ah-jung Kim
ahm1	Ahmad Khan Mahmoodzada
ahm2	Ahmad Nisfu
ahm3	Ahmad Zaki
ahn1	Ahna Capri
ahn2	Ahn Byeong-ki
ahn3	Ahn Jae-wook
ahn4	Ahn Jin-woo
ahn5	Ahn Kwon-tae
ahn6	Ahn Sang-hoon
ahn7	Ahn Seong-gi
ahn8	Ahn Sung-kee
ahn9	Ahn Sung-ki
ahn10	Ahn Tae-geun
ahs1	Ah-sung Ko
ahs2	Ahsaas Channa
aia1	Ai-Ai de las Alas
aid1	Aidan Quinn
aid2	A. Ides
aid3	Aidan Gillen
aid4	Aidan McArdle
aid5	Aidan Rea
aid6	Aida Nurmala
aid7	Aida Turturro
aik1	Ai Kago
aik2	Ai Keita
aik3	Ai Kobayashi
ail1	Aileen Britton
ail2	Aileen Pringle
ail3	Aileen Quinn
ail4	Aileen Wuornos
ail5	Ai Liya
aim1	Ai Maeda
aim2	Aimee Allen
aim3	Aimee Brooks
aim4	Aimee Garcia
aim5	Aimee Graham
ain1	Aino Taube
ais1	Aisha Tyler
ais2	Aishwariya Rai
ais3	Aishwarya Rai
ais4	Aishwarya Rai-Bachchan
ais5	Aishwarya Rai Bachchan
ais6	Aisling Walsh
ait1	Ai Takahashi
ait2	Aitana Sanchez-Gijon
aix1	Ai Xia
aja1	Ajab Gul
aja2	Ajay Devgan
aja3	Ajay Mitra
aja4	Ajay Naidu
ajb1	A.J. Benza
ajc1	A.J. Cook
aji1	Ajit
aji2	Ajita Wilson
aji3	Ajith
aji4	Ajith Kumar
aji5	Ajit Vachani
ajj1	A.J. Johnson
ajl1	A.J. Langer
ajs1	AJ Schnack
aka1	A. Karunakaran
aka2	Akaji Maro
aka3	Akara Amarttayakul
ake1	Ake Lindman
ake2	Akemi Negishi
ake3	Akemi Yamaguchi
akh1	A.K. Hangal
akh2	Akhenaton
aki1	Akira Kurosawa
aki2	Akira Terao
aki3	Aki Aleong
aki4	Aki Avni
aki5	Akifumi Miura
aki6	Akihiko Hirata
aki7	Akihiro Miwa
aki8	Akihiro Tomikawa
aki9	Akiji Kobayashi
aki10	Aki Kaurismaki
aki11	Akiko Maeda
aki12	Akiko Takeshita
aki13	Akiko Wakabayashi
aki14	Akiko Yano
aki15	Aki Maeda
aki16	Akim Tamiroff
aki17	Akinori Nagaoka
aki18	Akio Otsuka
aki19	Akira Emoto
aki20	Akira Ishihama
aki21	Akira Kamiya
aki22	Akira Kubo
aki23	Akira Nakao
aki24	Akira Takarada
aki25	Akira Yamauchi
aki26	Akitake Kono
aki27	Akiva Schaffer
ako1	Akosua Busia
aks1	Akshaye Khanna
aks2	Akshay Kapoor
aks3	Akshay Khanna
aks4	Akshay Kumar
akt1	Aktan Abdykalykov
ala1	Alan Parker
ala2	Alan Ladd
ala3	Alan J. Pakula
ala4	Alan Rickman
ala5	Alan Tudyk
ala6	Alan Bridges
ala7	Alan Mak
ala8	Alan Alda
ala9	Alaa Safi
ala10	Al Adamson
ala11	Alagam Perumal
ala12	Alaina Capri
ala13	Alain Berliner
ala14	Alain Chabat
ala15	Alain Cuny
ala16	Alain Delon
ala17	Alain Deruelle
ala18	Alain Dijon
ala19	Alain Eloy
ala20	Alain Fromager
ala21	Alain Resnais
ala22	Alain Sarde
ala23	Alain Souchon
ala24	Alain Tanner
ala25	Alakina Mann
ala26	Alana Austin
ala27	Alan Arkin
ala28	Alan Badel
ala29	Alan Bates
ala30	Alan Baxter
ala31	Alan Boyce
ala32	Alan Brough
ala33	Alan C. Peterson
ala34	Alan Cassell
ala35	Alan Clarke
ala36	Alan Cohn
ala37	Alan Cox
ala38	Alan Crosland
ala39	Alan Cullimore
ala40	Alan Cumming
ala41	Alan Curtis
ala42	Alan Dale
ala43	Alan Davidson
ala44	Alan Dinehart
ala45	Alan Dobie
ala46	Alan Feinstein
ala47	Alan Ford
ala48	Alan Freed
ala49	Alan Gibson
ala50	Alan Greenberg
ala51	Alan Hale
ala52	Alan Hale, Jr.
ala53	Alan Hale, Sr.
ala54	Alan Hewitt
ala55	Alan Hopgood
ala56	Alan Howard
ala57	Alan J. Levi
ala58	Alan Johnson
ala59	Alan King
ala60	Alan Lee
ala61	Alan Madlane
ala62	Alan Manson
ala63	Alan Marshal
ala64	Alan Mckenna
ala65	Alan Mehrez
ala66	Alan Metter
ala67	Alan Mowbray
ala68	Alan Myerson
ala69	Alan Napier
ala70	Alanna Ubach
ala71	Alan North
ala72	Alan Oppenheimer
ala73	Alan Ormsby
ala74	Alan Parnaby
ala75	Alan Peterson
ala76	Alan Polonsky
ala77	Alan Price
ala78	Alan Rafkin
ala79	Alan Randolph Scott
ala80	Alan Reed
ala81	Alan Roscoe
ala82	Alan Rosenberg
ala83	Alan Ruck
ala84	Alan Rudolph
ala85	Alan Sanborn
ala86	Alan Scarfe
ala87	Alan Schneider
ala88	Alan Shearman
ala89	Alan Smithee
ala90	Alan Spencer
ala91	Alan Tam
ala92	Alan Taylor
ala93	Alan Thicke
ala94	Alan Tilvern
ala95	Alan Vint
ala96	Alan Webb
ala97	Alan Weeks
ala98	Alan Welner
ala99	Alan White
ala100	Alan Young
ala101	Alastair Duncan
ala102	Alastair Fothergill
ala103	Alastair Galbraith
ala104	Alastair Sim
alb1	Albert Magnoli
alb2	Albert Brooks
alb3	Alba
alb4	Albert
alb5	Albert Austin
alb6	Alberta Watson
alb7	Albert Band
alb8	Albert Bassermann
alb9	Albert Conti
alb10	Albert Daniels
alb11	Albert Dekker
alb12	Albert Dupontel
alb13	Albert Finney
alb14	Albert Gran
alb15	Albert Grossman
alb16	Albert Hall
alb17	Albert Hehn
alb18	Albert Hoeberg
alb19	Albert Hughes
alb20	Albert Insinnia
alb21	Albert King
alb22	Albert Lamorisse
alb23	Albert Lewin
alb24	Albert Maysles
alb25	Alberto Cavalcanti
alb26	Alberto De Martino
alb27	Alberto Jimenez
alb28	Alberto Lattuada
alb29	Alberto Lupo
alb30	Alberto Molinari
alb31	Alberto Morin
alb32	Alberto Rabagliati
alb33	Alberto Sordi
alb34	Alberto Yoel
alb35	Albert Parker
alb36	Albert Prejean
alb37	Albert Pyun
alb38	Albert Remy
alb39	Albert S. Rogell
alb40	Albert Salmi
alb41	Albert Schultz
alb42	Albert Sharpe
alb43	Albert Sinkys
alb44	Albert Steinruck
alb45	Albert ter Heerdt
alb46	Albina Imasheva
alc1	Alcides Chiesa
alc2	Al Cliver
alc3	Al Corley
ald1	Alden 'Stephen' Chase
ald2	Aldo Fabrizi
ald3	Aldo Giuffre
ald4	Aldo Puglisi
ald5	Aldo Ray
ald6	Aldo Silvani
ald7	Aldo Valletti
ale1	Alex Frost
ale2	Alexandre Arbatt
ale3	Alejandro Gonzalez Inarritu
ale4	Alec Baldwin
ale5	Alexander Payne
ale6	Alejandro Amenabar
ale7	Alec Guinness
ale8	Alexandre Rodrigues
ale9	Alexander Gould
ale10	Alex Reid
ale11	Alec Cawthorne
ale12	Alec Craig
ale13	Alec Mango
ale14	Alec McCowen
ale15	Alec Medlock
ale16	Alec Newman
ale17	Alec Su
ale18	Aleisa Shirley
ale19	Alejandra Gollas
ale20	Alejandro Agresti
ale21	Alejandro Awada
ale22	Alejandro Camacho
ale23	Alejandro Goic
ale24	Alejandro Jodorowsky
ale25	Alejandro Rey
ale26	Alek Keshishian
ale27	Alekos Alexandrakis
ale28	Aleksandar Petrovic
ale29	Aleksander Bardini
ale30	Aleksandra Slaska
ale31	Aleksandra Yakovleva-Aasmyae
ale32	Aleksandr Benyaminov
ale33	Aleksandr Demyanenko
ale34	Aleksandr Gordon
ale35	Aleksandr Grechanyy
ale36	Aleksandr Kaidanovsky
ale37	Aleksandr Khvylya
ale38	Aleksandr Petrov
ale39	Aleksandr Ptushko
ale40	Aleksandr Pyatkov
ale41	Aleksandr Rou
ale42	Aleksandr Seryj
ale43	Aleksandr Shvorin
ale44	Aleksandr Sokurov
ale45	Aleksa Palladino
ale46	Aleksei Balabanov
ale47	Aleksei Kravchenko
ale48	Aleksei Panin
ale49	Aleksei Zharkov
ale50	Aleksei Zolotnitsky
ale51	Aleksey Batalov
ale52	Aleksey Chadov
ale53	Aleksey Kravchenko
ale54	Aleksia Landeau
ale55	Aleksi Vellis
ale56	Aleks West
ale57	Alerme
ale58	Al Ernest Garcia
ale59	Alessandro Gassman
ale60	Alessandro Juliani
ale61	Alessandro Momo
ale62	Alessandro Nivola
ale63	Alessio Boni
ale64	Alethea McGrath
ale65	Alexa Benedetti
ale66	Alexa Davalos
ale67	Alexa Fox
ale68	Alexander Abela
ale69	Alexander Alov,
ale70	Alexander Armstrong
ale71	Alexander Beyer
ale72	Alexander Borisov
ale73	Alexander D'Arcy
ale74	Alexander Delamere
ale75	Alexander Dovzhenko
ale76	Alexander Gaden
ale77	Alexander Godunov
ale78	Alexander Goodwin
ale79	Alexander Granach
ale80	Alexander Gray
ale81	Alexander Gruszynski
ale82	Alexander Hacke
ale83	Alexander Hall
ale84	Alexander Hammid
ale85	Alexander Hoyt
ale86	Alexander Kaidanovsky
ale87	Alexander Knox
ale88	Alexander Korda
ale89	Alexander Lockwood
ale90	Alexander Ludwig
ale91	Alexander Mackendrick
ale92	Alexander Morton
ale93	Alexander Niver
ale94	Alexander Pollock
ale95	Alexander Rendel
ale96	Alexander Scheer
ale97	Alexander Scourby
ale98	Alexander Siddig
ale99	Alexander Singer
ale100	Alexander Sokurov
ale101	Alexander Witt
ale102	Alexander Woollcott
ale103	Alexandra Breckenridge
ale104	Alexandra Dahlstrom
ale105	Alexandra Gentil
ale106	Alexandra Hay
ale107	Alexandra Holden
ale108	Alexandra Jamieson
ale109	Alexandra Kamp-Groeneveld
ale110	Alexandra Krosney
ale111	Alexandra London
ale112	Alexandra Maria Lara
ale113	Alexandra Neldel
ale114	Alexandra Paul
ale115	Alexandra Pigg
ale116	Alexandra Rapaport
ale117	Alexandra Schalaudek
ale118	Alexandra Silber
ale119	Alexandra Stewart
ale120	Alexandra Westmore
ale121	Alexandre Aja
ale122	Alexandre Brik
ale123	Alexandre Nahon
ale124	Alexandre Pinto
ale125	Alexandre Rockwell
ale126	Alexandria DeFabiis
ale127	Alexandr Ptushko
ale128	Alexandru Potocean
ale129	Alex Angulo
ale130	Alexa Vega
ale131	Alexa von Porembsky
ale132	Alex Borstein
ale133	Alex Briley
ale134	Alex Bruhanski
ale135	Alex Burns
ale136	Alex Carter
ale137	Alex Casanovas
ale138	Alex Clarke
ale139	Alex Cox
ale140	Alex D. Linz
ale141	Alex Daniels
ale142	Alex de la Iglesia
ale143	Alex De Rakoff
ale144	Alex Descas
ale145	Alex Dimitriades
ale146	Alexei Balabanov
ale147	Alexei Glazyrin
ale148	Alexei Loktev
ale149	Alex Etel
ale150	Alex Ferns
ale151	Alex Fong
ale152	Alex Gerry
ale153	Alex Gibney
ale154	Alex Haw
ale155	Alex Hyde-White
ale156	Alexia Keogh
ale157	Alexis Arquette
ale158	Alexis Bledel
ale159	Alexis Cruz
ale160	Alexis Dziena
ale161	Alexis Fields
ale162	Alexis Kasperavicius
ale163	Alexis Loret
ale164	Alexis Smith
ale165	Alexi Tan
ale166	Alex Jennings
ale167	Alex Karras
ale168	Alex Kendrick
ale169	Alex Mackenzie
ale170	Alex McArthur
ale171	Alex Menglet
ale172	Alex Michaeletos
ale173	Alex Minotis
ale174	Alex Neuberger
ale175	Alex Nicol
ale176	Alex Nikolic
ale177	Alex Norton
ale178	Alex O'Loughlin
ale179	Alex Pastor
ale180	Alex Perea
ale181	Alex Pettyfer
ale182	Alex Pinder
ale183	Alex Proyas
ale184	Alex Rocco
ale185	Alex Scarlis
ale186	Alex Scott
ale187	Alex Segal
ale188	Alex Shannon
ale189	Alex Sichel
ale190	Alex Smith
ale191	Alex Solowitz
ale192	Alex Steyermark
ale193	Alex Thomas
ale194	Alex Turner
ale195	Alex Veadov
ale196	Alex Vincent
ale197	Alex Wilson
ale198	Alex Winter
ale199	Alex Zamm
ale200	Alexz Johnson
alf1	Alfred Lutter
alf2	Alfred Hitchcock
alf3	Alfred Molina
alf4	Alfie Bass
alf5	Alfie Martin
alf6	alf kjellin
alf7	Alfonso Albacete
alf8	Alfonso Arau
alf9	Alfonso Bedoya
alf10	Alfonso Cuaron
alf11	Alfonso Freeman
alf12	Al Franken
alf13	Alfred Abel
alf14	Alfred Barker Jr.
alf15	Alfred Brown
alf16	Alfred Cheung
alf17	Alfred Dennis
alf18	Alfred E. Green
alf19	Alfred E. Humphreys
alf20	Alfred J. Goulding
alf21	Alfred L. Werker
alf22	Alfred Marks
alf23	Alfredo Ortiz
alf24	Alfred Paget
alf25	Alfred Ryder
alf26	Alfred Sauchelli Jr.
alf27	Alfred Zeisler
alf28	Al Freeman, Jr.
alf29	Alfre Woodard
alf30	Alf Sjoberg
alg1	Al Gore
alg2	Al Green
alh1	Al Harrell
ali1	Alison Whelan
ali2	Alida Valli
ali3	Ali
ali4	Alia Shawkat
ali5	Alice Brady
ali6	Alice Braga
ali7	Alice Connor
ali8	Alice Drummond
ali9	Alice Dwyer
ali10	Alice Evans
ali11	Alice Eve
ali12	Alice Faye
ali13	Alice Frank
ali14	Alice Ghostley
ali15	Alice Greczyn
ali16	Alice Hollister
ali17	Alice Joyce
ali18	Alice Jubert
ali19	Alice Krige
ali20	Alice Lake
ali21	Alice Lim
ali22	Alice Mildred Puter
ali23	Alice Morel-Michaud
ali24	Alice Patten
ali25	Alice Pearce
ali26	Alice Playten
ali27	Alice Pol
ali28	Alice Taglioni
ali29	Alice Teghil
ali30	Alice Terry
ali31	Alice Waters
ali32	Alice Wu
ali33	Alicia Borrachero
ali34	Alicia Fulford-Wierzbicki
ali35	Alicia Jones
ali36	Alicia Silverstone
ali37	Alicia Witt
ali38	Alicja Bachleda-Curus
ali39	Alida Chelli
ali40	Ali Hillis
ali41	Ali Khamraev
ali42	Aliki Vougiouklaki
ali43	Ali Landry
ali44	Ali Larter
ali45	Ali MacGraw
ali46	Alima Salouka
ali47	Ali Nassirian
ali48	Aline Kuppenheim
ali49	Aline MacMahon
ali50	Aline Towne
ali51	Alisa Frejndlikh
ali52	Alisa Freyndlikh
ali53	Alison Anders
ali54	Alison Bower
ali55	Alison Cuffe
ali56	Alison Darcy
ali57	Alison Doody
ali58	Alison Eastwood
ali59	Alison Elliott
ali60	Alison Folland
ali61	Alison La Placa
ali62	Alison Leggatt
ali63	Alison Lohman
ali64	Alison Maclean
ali65	Alison Pill
ali66	Alison Price
ali67	Alison Skipworth
ali68	Alison Steadman
ali69	Alistair Abell
ali70	Alistair Browning
ali71	Alister Grierson
ali72	Alister Williamson
ali73	Ali Suliman
ali74	Alix Elias
alj1	Al Jolson
alk1	Alki David
alk2	Al Kikume
alk3	Alkinos Tsilimidos
all1	Allan Edwall
all2	Allie Mickelson
all3	Allan Corduner
all4	Alla Demidova
all5	Allakariallak
all6	Allan Arkush
all7	Alla Nazimova
all8	Allan Bohlin
all9	Allan Dwan
all10	Allan F. Nicholls
all11	Allan Hawco
all12	Allan Houston
all13	Allan Jones
all14	Allan King
all15	Allan Kolman
all16	Allan Lane
all17	Allan Moyle
all18	Allan Nixon
all19	Allan Rich
all20	Alla Osipenko
all21	Alla Surikova
all22	Allee
all23	Allegoo
all24	Allelon Ruggiero
all25	Allen Coulter
all26	Allen Covert
all27	Allen Cutler
all28	Allen Danziger
all29	Allene Roberts
all30	Allen Garfield
all31	Allen Ginsberg
all32	Allen Holubar
all33	Allen Hoskins
all34	Allen Hughes
all35	Allen Jenkins
all36	Allen Joseph
all37	Allen Lewis Rickman
all38	Allen Midgette
all39	Allen Payne
all40	Allen Reisner
all41	Al Lettieri
all42	Alley Mills
all43	Allie Cannito
all44	Allison Anders
all45	Allison Gompf
all46	Allison Hayes
all47	Allison Janney
all48	Allison Mackie
all49	Allison Miller
all50	Allison Rachel Golde
all51	Allison Roddan
all52	Allison Scagliotti
all53	Allison Siko
all54	Allison Smith
all55	All Star Revue
all56	Allu Arjun
all57	Allyce Beasley
all58	Allyn Ann McLerie
all59	Allyn Joslyn
all60	Ally Sheedy
all61	Allyson Ames
all62	Ally Walker
alm1	Alma Bennett
alm2	Al Mancini
alm3	Almira Sessions
alo1	Alois Vachek
alo2	Alok Chakravarty
alo3	Alok Nath
alo4	Alonzo Brown
alp1	Al Pacino
alp2	Alper Mestci
alp3	Alphonse Ethier
alr1	Al Reidel
alr2	Al Reinert
alr3	Al Ruban
als1	Al Shenberg
als2	Al Sanders
als3	Al St. John
alt1	Altovise Davis
alu1	Alun Armstrong
alv1	Alvaro D. Ruiz
alv2	Alvaro Guerrero
alv3	Alvin Ganzer
alv4	Alvin Rakoff
alw1	Alwyn Kurts
alw2	Alwyn Uytingco
aly1	Alyce LaTourelle
aly2	Alycia Delmore
aly3	Aly Michalka
aly4	Alyosha De
aly5	Alyque Padamsee
aly6	Alyson Court
aly7	Alyson Hannigan
aly8	Alyson Michalka
aly9	Alyson Morgan
aly10	Alyson Reed
aly11	Alyssa Milano
ama1	Amala
ama2	Amal Ayouch
ama3	Amalia Fuentes
ama4	Amanda Anka
ama5	Amanda Barnett
ama6	Amanda Bartley
ama7	Amanda Bearse
ama8	Amanda Blake
ama9	Amanda Brugel
ama10	Amanda Bynes
ama11	Amanda Crew
ama12	Amanda De Cadenet
ama13	Amanda Detmer
ama14	Amanda Donohoe
ama15	Amanda Foreman
ama16	Amanda Jelks
ama17	Amanda Langlet
ama18	Amanda Pays
ama19	Amanda Peet
ama20	Amanda Peterson
ama21	Amanda Plummer
ama22	Amanda Redman
ama23	Amanda Righetti
ama24	Amanda Schull
ama25	Amanda Seyfried
ama26	Amanda Swisten
ama27	Amanda Wyss
ama28	Amandina Lihamba
ama29	Amando de Ossorio
ama30	Aman Verma
ama31	Amarilis
ama32	A Martinez
ama33	Amaury Batista
ama34	Amaury Nolasco
amb1	Amber Benson
amb2	Amber Chia
amb3	Amber Heard
amb4	Amberlee Colson
amb5	Amber Loy
amb6	Amber Production Team
amb7	Amber Scott
amb8	Amber Tamblyn
amb9	Amber Valletta
amb10	Amber Van Lent
ame1	Amedee
ame2	Amedeo Nazzari
ame3	Ameesha Patel
ame4	Ameet Chana
ame5	Amelia Cooke
ame6	Amer Hlehel
ame7	America Ferrera
ame8	American director
ame9	Amerigo Fontani
ami1	Amitabh Bachchan
ami2	A. Michael Baldwin
ami3	Ami Dolenz
ami4	Amilcar Ramirez
ami5	Aminta Dyne
ami6	Amira Casar
ami7	Amira Moustafa
ami8	Amir Feldman
ami9	Ami Suzuki
ami10	Amit Hingorani
ami11	Amit Mitra
ami12	Amiya Chakrabarty
amj1	Amjad Khan
amm1	Amma Asante
amm2	Ammara Assawanon
amm3	Ammara Siripong
amo1	Amol Palekar
amo2	Amornthep Waewsang
amo3	Amos Gitai
amp1	Amparo Munoz
amr1	Amrish Puri
amr2	Amrita Arora
amr3	Amrita Rao
amr4	Amrita Singh
amv1	Amvroziy Buchma
amy1	Amy Irving
amy2	Amy Acker
amy3	Amy Adams
amy4	Amy Aquino
amy5	Amy Birnbaum
amy6	Amy Brenneman
amy7	Amy Brooks
amy8	Amy Carson
amy9	Amy Ciupak Lalonde
amy10	Amy Douglass
amy11	Amy Green
amy12	Amy Heckerling
amy13	Amy Hill
amy14	Amy Holden Jones
amy15	Amy Ingersoll
amy16	Amy Jo Johnson
amy17	Amy Linker
amy18	Amy Locane
amy19	Amy Lynn Baxter
amy20	Amy Madigan
amy21	Amy Matysio
amy22	Amy O'Neill
amy23	Amy Poehler
amy24	Amy Robbins
amy25	Amy Robinson
amy26	Amy Ryan
amy27	Amy Schmidt
amy28	Amy Sedaris
amy29	Amy Smart
amy30	Amy Steel
amy31	Amy Stewart
amy32	Amy Talkington
amy33	Amy Taubin
amy34	Amy Van Elle
amy35	Amy Waddell
amy36	Amy Wright
amy37	Amy Yasbeck
amy38	Amy Yip
amz1	Amzie Strickland
ana1	Anabel Alonso
ana2	Anabel Shaw
ana3	Ana Claudia Talancon
ana4	Ana Clavell
ana5	Ana de la Reguera
ana6	Ana Gasteyer
ana7	Anais Nin
ana8	Anais Reboux
ana9	Anaitha Nair
ana10	Ana Kokkinos
ana11	Anamaria Marinca
ana12	Ananda Everingham
ana13	Anand Tucker
ana14	Anand Upadhyaya
ana15	Anant Mahadevan
ana16	Anant Nag
ana17	Ananya Khare
ana18	Ana Obregon
ana19	Anarkalli Jayatilake
ana20	Anastasia Griffith
ana21	Anastasia Hille
ana22	Anastasiya Vertinskaya
ana23	Anat Atzmon
ana24	Anatole Litvak
ana25	Anatoli Davydov
ana26	Anatoli Kuznetsov
ana27	Anatoli Papanov
ana28	Anatoli Romashin
ana29	Anatoli Solonitsyn
ana30	Anatoly M. Sagalevitch
ana31	Anatoly Solonitsyn
ana32	Ana Torrent
and1	Andrew Davis
and2	Andrew Stanton
and3	Andy Wachowski
and4	Andrew Adamson
and5	Andie MacDowell
and6	Andrew Dominik
and7	Andre Berley
and8	Andy Cohn
and9	Andrea Arnold
and10	Andrzej Wajda
and11	Anders Agensoe
and12	Anders Banke
and13	Anders Ek
and14	Andersen Gabrych
and15	Anders Hogsbro Ostergaard
and16	Anders Hove
and17	Anders Nilsson
and18	Anders Randolf
and19	Anders W. Berthelsen
